experiment,round,avg_legal_moves
B1_full_sharing,10,607.12
B1_full_sharing,20,615.4300000000001
B1_full_sharing,30,631.9200000000001
B1_full_sharing,40,636.535
B1_full_sharing,50,674.8
B1_full_sharing,60,656.615
B1_full_sharing,70,644.485
B1_full_sharing,90,659.635
B1_full_sharing,100,660.45
B1_full_sharing,110,652.75
B1_full_sharing,120,676.4649999999999
B1_full_sharing,130,682.82
B1_full_sharing,140,678.85
B1_full_sharing,150,671.435
B1_full_sharing,160,653.165
B1_full_sharing,170,688.45
B1_full_sharing,180,695.435
B1_full_sharing,190,694.77
B1_full_sharing,200,696.37
B1_full_sharing,210,690.4
B1_full_sharing,220,679.9849999999999
B1_full_sharing,230,669.3499999999999
B1_full_sharing,240,669.7
B1_full_sharing,250,672.0699999999999
B1_full_sharing,260,715.4649999999999
B1_full_sharing,270,677.9200000000001
B1_full_sharing,280,697.5350000000001
B1_full_sharing,290,701.05
B1_full_sharing,300,695.9000000000001
B1_full_sharing,310,706.63
B1_full_sharing,320,689.385
B1_full_sharing,330,690.4
B1_full_sharing,340,674.4
B1_full_sharing,350,704.915
B2_no_sharing,10,585.085
B2_no_sharing,20,596.85
B2_no_sharing,30,613.0799999999999
B2_no_sharing,40,669.7149999999999
B2_no_sharing,50,600.07
B2_no_sharing,60,645.285
B2_no_sharing,70,626.5
B2_no_sharing,80,654.8199999999999
B2_no_sharing,90,668.55
B2_no_sharing,100,662.63
B2_no_sharing,110,663.165
B2_no_sharing,120,667.5999999999999
B2_no_sharing,130,699.03
B2_no_sharing,140,650.065
B2_no_sharing,150,672.0350000000001
B2_no_sharing,160,662.5799999999999
B2_no_sharing,170,694.065
B2_no_sharing,180,694.85
B2_no_sharing,190,705.915
B2_no_sharing,200,667.735
B2_no_sharing,210,687.53
B2_no_sharing,220,685.2149999999999
B2_no_sharing,230,687.25
B2_no_sharing,240,699.03
B2_no_sharing,250,690.085
B2_no_sharing,260,712.715
B2_no_sharing,270,692.735
B2_no_sharing,280,708.935
B2_no_sharing,290,669.585
B2_no_sharing,300,694.2
B2_no_sharing,310,697.185
B2_no_sharing,320,672.685
B2_no_sharing,330,672.115
B2_no_sharing,340,697.9
B2_no_sharing,350,692.635
P1_share_early,10,595.035
P1_share_early,20,608.035
P1_share_early,30,649.9
P1_share_early,40,664.4
P1_share_early,50,665.47
P1_share_early,60,629.2850000000001
P1_share_early,70,683.6
P1_share_early,80,640.6700000000001
P1_share_early,90,668.315
P1_share_early,100,673.765
P1_share_early,110,663.15
P1_share_early,120,668.45
P1_share_early,130,661.12
P1_share_early,140,675.3
P1_share_early,150,676.685
P1_share_early,160,669.97
P1_share_early,170,684.535
P1_share_early,180,689.42
P1_share_early,190,661.0999999999999
P1_share_early,200,676.585
P1_share_early,210,691.065
P1_share_early,220,686.985
P1_share_early,230,692.4200000000001
P1_share_early,240,677.185
P1_share_early,250,675.5
P1_share_early,260,693.25
P1_share_early,270,716.0
P1_share_early,280,681.565
P1_share_early,290,692.915
P1_share_early,300,664.165
P1_share_early,310,690.6
P1_share_early,320,710.485
P1_share_early,330,704.3
P1_share_early,340,680.4000000000001
P1_share_early,350,696.02
P2_share_middle,10,595.2
P2_share_middle,20,577.47
P2_share_middle,30,644.085
P2_share_middle,40,638.265
P2_share_middle,50,622.6500000000001
P2_share_middle,60,668.635
P2_share_middle,70,644.9200000000001
P2_share_middle,80,678.88
P2_share_middle,90,666.1500000000001
P2_share_middle,100,669.685
P2_share_middle,110,685.65
P2_share_middle,120,677.935
P2_share_middle,130,676.3
P2_share_middle,140,677.0350000000001
P2_share_middle,150,673.8
P2_share_middle,160,679.97
P2_share_middle,170,682.0
P2_share_middle,180,663.385
P2_share_middle,190,700.75
P2_share_middle,200,698.865
P2_share_middle,210,688.37
P2_share_middle,220,684.35
P2_share_middle,230,657.8499999999999
P2_share_middle,240,688.4300000000001
P2_share_middle,250,659.465
P2_share_middle,260,686.0799999999999
P2_share_middle,270,666.65
P2_share_middle,280,692.73
P2_share_middle,290,701.165
P2_share_middle,300,675.85
P2_share_middle,310,689.515
P2_share_middle,320,679.415
P2_share_middle,330,669.115
P2_share_middle,340,679.9300000000001
P2_share_middle,350,694.135
P3_share_late,10,569.8499999999999
P3_share_late,20,602.5150000000001
P3_share_late,30,614.985
P3_share_late,40,627.82
P3_share_late,50,649.765
P3_share_late,60,643.65
P3_share_late,70,677.4849999999999
P3_share_late,80,627.335
P3_share_late,90,648.085
P3_share_late,100,647.015
P3_share_late,110,671.25
P3_share_late,120,664.72
P3_share_late,130,695.15
P3_share_late,140,686.115
P3_share_late,150,713.185
P3_share_late,160,692.865
P3_share_late,170,667.65
P3_share_late,180,701.6700000000001
P3_share_late,190,671.2149999999999
P3_share_late,200,710.735
P3_share_late,210,679.25
P3_share_late,220,673.185
P3_share_late,230,671.25
P3_share_late,240,713.865
P3_share_late,250,708.25
P3_share_late,260,696.25
P3_share_late,270,681.77
P3_share_late,280,676.6
P3_share_late,290,711.8
P3_share_late,300,702.815
P3_share_late,310,671.25
P3_share_late,320,694.515
P3_share_late,330,708.2149999999999
P3_share_late,340,693.0699999999999
P3_share_late,350,699.28
P4_share_backbone,10,586.75
P4_share_backbone,20,581.7650000000001
P4_share_backbone,30,621.4
P4_share_backbone,40,633.115
P4_share_backbone,50,626.2850000000001
P4_share_backbone,60,631.8499999999999
P4_share_backbone,70,644.6500000000001
P4_share_backbone,80,690.4649999999999
P4_share_backbone,90,675.115
P4_share_backbone,100,676.95
P4_share_backbone,110,642.0799999999999
P4_share_backbone,120,667.9649999999999
P4_share_backbone,130,697.5699999999999
P4_share_backbone,140,672.065
P4_share_backbone,150,663.4000000000001
P4_share_backbone,160,673.565
P4_share_backbone,170,677.5799999999999
P4_share_backbone,180,680.0
P4_share_backbone,190,668.915
P4_share_backbone,200,664.9300000000001
P4_share_backbone,210,668.065
P4_share_backbone,220,674.75
P4_share_backbone,230,659.75
P4_share_backbone,240,666.4000000000001
P4_share_backbone,250,684.15
P4_share_backbone,260,665.085
P4_share_backbone,270,706.2
P4_share_backbone,280,667.88
P4_share_backbone,290,662.5
P4_share_backbone,300,665.6
P4_share_backbone,310,655.235
P4_share_backbone,320,673.4
P4_share_backbone,330,686.7
P4_share_backbone,340,705.85
P4_share_backbone,350,686.25
