cluster,round,elo
tactical,10,800
tactical,20,800
tactical,30,800
tactical,40,800
tactical,50,800
tactical,60,800
tactical,70,900
tactical,80,850
tactical,90,800
tactical,100,800
tactical,110,900
tactical,120,975
tactical,130,800
tactical,140,800
tactical,150,875
tactical,160,800
tactical,170,1000
tactical,180,1025
tactical,190,875
tactical,200,900
tactical,210,925
tactical,220,875
tactical,230,1100
tactical,240,825
tactical,250,875
tactical,260,1000
tactical,270,1100
tactical,280,1125
tactical,290,950
tactical,300,1050
tactical,310,1050
tactical,320,800
tactical,330,1000
tactical,340,975
tactical,350,1050
positional,10,800
positional,20,800
positional,30,800
positional,40,800
positional,50,800
positional,60,800
positional,70,800
positional,80,800
positional,90,800
positional,100,800
positional,110,800
positional,120,800
positional,130,875
positional,140,900
positional,150,925
positional,160,975
positional,170,925
positional,180,925
positional,190,950
positional,200,1025
positional,210,950
positional,220,950
positional,230,1025
positional,240,975
positional,250,1125
positional,260,950
positional,270,1125
positional,280,900
positional,290,1075
positional,300,1075
positional,310,900
positional,320,1000
positional,330,950
positional,340,1025
positional,350,1050
