experiment,layer_group,divergence_index
B1_full_sharing,input_block,-2e-06
B1_full_sharing,early_residual,0.555594
B1_full_sharing,middle_residual,0.665981
B1_full_sharing,late_residual,0.0
B1_full_sharing,policy_head,-3e-06
B1_full_sharing,value_head,-0.0
B2_no_sharing,input_block,0.972176
B2_no_sharing,early_residual,0.722864
B2_no_sharing,middle_residual,0.920344
B2_no_sharing,late_residual,0.0
B2_no_sharing,policy_head,0.228079
B2_no_sharing,value_head,0.736605
P1_share_early,input_block,-1e-06
P1_share_early,early_residual,0.729045
P1_share_early,middle_residual,0.91392
P1_share_early,late_residual,0.0
P1_share_early,policy_head,0.213827
P1_share_early,value_head,1.182483
P2_share_middle,input_block,0.955858
P2_share_middle,early_residual,0.721345
P2_share_middle,middle_residual,0.8033
P2_share_middle,late_residual,0.0
P2_share_middle,policy_head,0.224726
P2_share_middle,value_head,1.57232
P3_share_late,input_block,0.819142
P3_share_late,early_residual,0.589831
P3_share_late,middle_residual,0.81292
P3_share_late,late_residual,0.0
P3_share_late,policy_head,-3e-06
P3_share_late,value_head,-0.0
P4_share_backbone,input_block,-1e-06
P4_share_backbone,early_residual,0.704227
P4_share_backbone,middle_residual,0.863793
P4_share_backbone,late_residual,0.0
P4_share_backbone,policy_head,0.210894
P4_share_backbone,value_head,0.770918
