layer_group,round,l2_norm
input_block,10,669.500947
input_block,20,1320.082862
input_block,30,1972.292204
input_block,40,2619.42498
input_block,50,3269.034262
input_block,60,3918.046906
input_block,70,4573.274481
input_block,80,5229.192691
input_block,90,5891.160035
input_block,100,6538.853034
input_block,110,7190.412021
input_block,120,7842.882512
input_block,130,8494.394443
input_block,140,9145.980972
input_block,150,9798.768806
input_block,160,10460.593951
input_block,170,11116.321804
input_block,180,11771.937735
input_block,190,12418.030502
input_block,200,13064.520379
input_block,210,13710.624555
input_block,220,14353.811712
input_block,230,15005.845069
input_block,240,15651.610031
input_block,250,16305.548003
input_block,260,16955.486279
input_block,270,17607.900378
input_block,280,18259.821693
input_block,290,18898.979402
input_block,300,19540.759949
input_block,310,20183.844424
input_block,320,20836.212928
input_block,330,21483.722452
input_block,340,22135.19637
input_block,350,22784.736803
early_residual,10,1894.795937
early_residual,20,3154.605429
early_residual,30,3938.024964
early_residual,40,4655.567364
early_residual,50,5396.674952
early_residual,60,6411.022153
early_residual,70,7545.827405
early_residual,80,8571.997033
early_residual,90,9793.959118
early_residual,100,10895.471787
early_residual,110,12094.388838
early_residual,120,13150.74888
early_residual,130,14331.399288
early_residual,140,15360.965589
early_residual,150,16451.248356
early_residual,160,17630.952503
early_residual,170,18650.545566
early_residual,180,19920.351515
early_residual,190,20681.985017
early_residual,200,21391.692937
early_residual,210,22282.234153
early_residual,220,23273.156878
early_residual,230,24180.559087
early_residual,240,25021.985228
early_residual,250,25877.609598
early_residual,260,26645.895565
early_residual,270,27399.758992
early_residual,280,28101.001901
early_residual,290,28843.934174
early_residual,300,29607.090572
early_residual,310,30360.183844
early_residual,320,31112.145405
early_residual,330,31640.093853
early_residual,340,32221.236514
early_residual,350,32900.478067
middle_residual,10,1906.258443
middle_residual,20,3856.116692
middle_residual,30,5300.862285
middle_residual,40,6194.493394
middle_residual,50,6904.420786
middle_residual,60,8026.97202
middle_residual,70,9169.414242
middle_residual,80,10205.201485
middle_residual,90,11479.94336
middle_residual,100,12748.074096
middle_residual,110,14081.969432
middle_residual,120,15367.139413
middle_residual,130,16585.834112
middle_residual,140,17649.128529
middle_residual,150,18873.115937
middle_residual,160,20137.057101
middle_residual,170,21188.646451
middle_residual,180,22564.465712
middle_residual,190,23318.664186
middle_residual,200,24072.301912
middle_residual,210,24935.804776
middle_residual,220,26000.89387
middle_residual,230,26921.114813
middle_residual,240,27834.551014
middle_residual,250,28730.661561
middle_residual,260,29379.345665
middle_residual,270,30179.632056
middle_residual,280,30873.804644
middle_residual,290,31587.16868
middle_residual,300,32371.6441
middle_residual,310,33135.996274
middle_residual,320,34064.887128
middle_residual,330,34456.268158
middle_residual,340,34987.046373
middle_residual,350,35591.857904
policy_head,10,1013.412346
policy_head,20,1923.239949
policy_head,30,2935.606983
policy_head,40,4211.773901
policy_head,50,5481.957559
policy_head,60,6934.546995
policy_head,70,8524.457837
policy_head,80,10031.750186
policy_head,90,11918.739336
policy_head,100,13749.31508
policy_head,110,15900.593076
policy_head,120,17433.185717
policy_head,130,19742.050706
policy_head,140,21837.903988
policy_head,150,23902.074816
policy_head,160,26615.961651
policy_head,170,28977.97286
policy_head,180,31675.95747
policy_head,190,33052.055241
policy_head,200,34822.535263
policy_head,210,37142.641768
policy_head,220,39370.505282
policy_head,230,41751.738655
policy_head,240,43696.839522
policy_head,250,46324.639435
policy_head,260,47447.838267
policy_head,270,48778.102692
policy_head,280,50682.234985
policy_head,290,52642.333088
policy_head,300,54466.747369
policy_head,310,56124.77891
policy_head,320,57480.64428
policy_head,330,56868.704729
policy_head,340,58028.927476
policy_head,350,58781.118535
value_head,10,397.770603
value_head,20,787.861852
value_head,30,1179.969823
value_head,40,1571.086845
value_head,50,1965.259874
value_head,60,2358.892822
value_head,70,2758.640925
value_head,80,3154.306006
value_head,90,3559.638344
value_head,100,3954.765597
value_head,110,4353.491605
value_head,120,4747.253783
value_head,130,5145.332595
value_head,140,5538.278949
value_head,150,5936.763397
value_head,160,6348.859768
value_head,170,6746.316455
value_head,180,7163.681182
value_head,190,7556.504093
value_head,200,7946.32229
value_head,210,8338.974156
value_head,220,8751.989233
value_head,230,9151.06912
value_head,240,9523.952397
value_head,250,9920.126683
value_head,260,10310.167838
value_head,270,10728.065585
value_head,280,11111.122169
value_head,290,11508.606494
value_head,300,11906.949048
value_head,310,12312.380666
value_head,320,12704.674814
value_head,330,13107.166859
value_head,340,13510.278756
value_head,350,13937.971797
