cluster,round,attacked_material,captures
tactical,10,64.6,12.23
tactical,20,56.47,13.43
tactical,30,58.57,13.07
tactical,40,59.0,12.93
tactical,50,63.7,12.43
tactical,60,54.93,12.57
tactical,70,66.93,12.87
tactical,80,75.87,13.5
tactical,90,64.3,14.6
tactical,100,68.77,12.93
tactical,110,69.67,16.17
tactical,120,69.27,14.03
tactical,130,74.27,13.8
tactical,140,65.37,14.1
tactical,150,70.87,13.7
tactical,160,70.6,13.2
tactical,170,62.33,13.37
tactical,180,78.23,13.23
tactical,190,71.07,12.87
tactical,200,69.2,13.23
tactical,210,74.53,15.9
tactical,220,75.63,16.4
tactical,230,73.5,17.5
tactical,240,75.67,15.43
tactical,250,67.57,15.03
tactical,260,62.27,14.9
tactical,270,75.3,15.63
tactical,280,67.43,15.43
tactical,290,71.1,13.97
tactical,300,69.53,13.53
tactical,310,66.3,15.37
tactical,320,71.9,14.8
tactical,330,77.4,14.93
tactical,340,83.93,13.23
tactical,350,69.37,16.03
positional,10,45.2,11.87
positional,20,54.2,12.53
positional,30,66.43,15.1
positional,40,56.23,14.7
positional,50,58.17,13.63
positional,60,62.6,14.03
positional,70,62.9,13.13
positional,80,67.77,12.67
positional,90,71.0,15.87
positional,100,61.7,15.0
positional,110,60.77,13.83
positional,120,65.6,14.6
positional,130,69.73,14.6
positional,140,66.07,14.23
positional,150,73.23,15.0
positional,160,74.13,13.83
positional,170,71.6,15.4
positional,180,73.07,14.43
positional,190,61.23,15.47
positional,200,63.63,14.73
positional,210,72.03,12.77
positional,220,57.1,14.87
positional,230,72.1,17.0
positional,240,60.57,14.63
positional,250,72.63,16.97
positional,260,67.1,15.93
positional,270,72.23,13.6
positional,280,64.23,13.57
positional,290,68.0,18.03
positional,300,69.3,13.4
positional,310,70.83,15.17
positional,320,72.23,15.57
positional,330,71.0,15.9
positional,340,76.53,15.57
positional,350,72.73,13.53
