experiment,move_type,tactical,positional,difference
B1_full_sharing,aggressive_pct,27.4,27.17,0.22999999999999687
B2_no_sharing,aggressive_pct,28.89,28.69,0.1999999999999993
P1_share_early,aggressive_pct,27.27,26.36,0.9100000000000001
P2_share_middle,aggressive_pct,29.19,27.68,1.5100000000000016
P3_share_late,aggressive_pct,27.21,27.23,-0.019999999999999574
P4_share_backbone,aggressive_pct,29.59,27.64,1.9499999999999993
B1_full_sharing,captures_pct,18.89,18.42,0.46999999999999886
B2_no_sharing,captures_pct,18.94,19.46,-0.5199999999999996
P1_share_early,captures_pct,18.68,17.7,0.9800000000000004
P2_share_middle,captures_pct,18.52,17.97,0.5500000000000007
P3_share_late,captures_pct,18.75,19.52,-0.7699999999999996
P4_share_backbone,captures_pct,20.22,19.12,1.0999999999999979
B1_full_sharing,checks_pct,8.51,8.75,-0.2400000000000002
B2_no_sharing,checks_pct,9.96,9.23,0.7300000000000004
P1_share_early,checks_pct,8.59,8.66,-0.07000000000000028
P2_share_middle,checks_pct,10.67,9.71,0.9599999999999991
P3_share_late,checks_pct,8.46,7.71,0.7500000000000009
P4_share_backbone,checks_pct,9.38,8.52,0.8600000000000012
B1_full_sharing,quiet_moves_pct,74.84,74.88,-0.03999999999999204
B2_no_sharing,quiet_moves_pct,73.7,73.28,0.4200000000000017
P1_share_early,quiet_moves_pct,74.66,75.31,-0.6500000000000057
P2_share_middle,quiet_moves_pct,72.92,74.27,-1.3499999999999943
P3_share_late,quiet_moves_pct,74.69,74.85,-0.1599999999999966
P4_share_backbone,quiet_moves_pct,72.42,74.91,-2.489999999999995
