experiment,round,policy_divergence,value_divergence,difference
B1_full_sharing,10,-1e-06,0.0,-1e-06
B1_full_sharing,20,-2e-06,0.0,-2e-06
B1_full_sharing,30,-1e-06,-0.0,-1e-06
B1_full_sharing,40,-3e-06,-0.0,-3e-06
B1_full_sharing,50,-2e-06,0.0,-2e-06
B1_full_sharing,60,-2e-06,-0.0,-2e-06
B1_full_sharing,70,-4e-06,-0.0,-4e-06
B1_full_sharing,90,-3e-06,-0.0,-3e-06
B1_full_sharing,100,-3e-06,0.0,-3e-06
B1_full_sharing,110,-4e-06,-0.0,-4e-06
B1_full_sharing,120,-4e-06,-0.0,-4e-06
B1_full_sharing,130,-3e-06,-0.0,-3e-06
B1_full_sharing,140,-3e-06,0.0,-3e-06
B1_full_sharing,150,-3e-06,0.0,-3e-06
B1_full_sharing,160,-3e-06,-0.0,-3e-06
B1_full_sharing,170,-3e-06,0.0,-3e-06
B1_full_sharing,180,-4e-06,-0.0,-4e-06
B1_full_sharing,190,-4e-06,-0.0,-4e-06
B1_full_sharing,200,-4e-06,0.0,-4e-06
B1_full_sharing,210,-4e-06,-0.0,-4e-06
B1_full_sharing,220,-4e-06,0.0,-4e-06
B1_full_sharing,230,-4e-06,0.0,-4e-06
B1_full_sharing,240,-3e-06,0.0,-3e-06
B1_full_sharing,250,-3e-06,0.0,-3e-06
B1_full_sharing,260,-3e-06,0.0,-3e-06
B1_full_sharing,270,-3e-06,0.0,-3e-06
B1_full_sharing,280,-3e-06,0.0,-3e-06
B1_full_sharing,290,-3e-06,0.0,-3e-06
B1_full_sharing,300,-3e-06,0.0,-3e-06
B1_full_sharing,310,-3e-06,-0.0,-3e-06
B1_full_sharing,320,-3e-06,-0.0,-3e-06
B1_full_sharing,330,-3e-06,-0.0,-3e-06
B1_full_sharing,340,-3e-06,-0.0,-3e-06
B1_full_sharing,350,-3e-06,-0.0,-3e-06
B2_no_sharing,10,0.315527,1.091856,-0.7763289999999999
B2_no_sharing,20,0.305115,1.074486,-0.769371
B2_no_sharing,30,0.299071,1.062867,-0.763796
B2_no_sharing,40,0.294007,1.103551,-0.8095439999999999
B2_no_sharing,50,0.287877,1.149105,-0.8612280000000001
B2_no_sharing,60,0.28215,1.128383,-0.8462329999999999
B2_no_sharing,70,0.276596,1.15473,-0.878134
B2_no_sharing,80,0.27127,1.163526,-0.892256
B2_no_sharing,90,0.266404,1.141521,-0.875117
B2_no_sharing,100,0.261873,1.129314,-0.8674409999999999
B2_no_sharing,110,0.257659,1.151935,-0.8942759999999998
B2_no_sharing,120,0.254405,1.174756,-0.9203509999999999
B2_no_sharing,130,0.251536,1.144535,-0.8929990000000001
B2_no_sharing,140,0.248668,1.178461,-0.929793
B2_no_sharing,150,0.246048,1.197021,-0.9509729999999998
B2_no_sharing,160,0.243153,1.1916,-0.948447
B2_no_sharing,170,0.241295,1.176061,-0.934766
B2_no_sharing,180,0.239385,1.197983,-0.9585980000000001
B2_no_sharing,190,0.238109,1.165694,-0.927585
B2_no_sharing,200,0.236367,1.192776,-0.9564090000000001
B2_no_sharing,210,0.235506,1.20983,-0.974324
B2_no_sharing,220,0.234262,1.216038,-0.981776
B2_no_sharing,230,0.233089,1.211219,-0.97813
B2_no_sharing,240,0.23161,1.22713,-0.9955200000000001
B2_no_sharing,250,0.230888,1.215028,-0.98414
B2_no_sharing,260,0.230103,1.180276,-0.9501730000000002
B2_no_sharing,270,0.229103,1.2104,-0.9812969999999999
B2_no_sharing,280,0.229033,0.742739,-0.513706
B2_no_sharing,290,0.228641,0.741101,-0.51246
B2_no_sharing,300,0.228292,1.147739,-0.9194470000000001
B2_no_sharing,310,0.228261,0.740718,-0.5124569999999999
B2_no_sharing,320,0.228224,0.739151,-0.510927
B2_no_sharing,330,0.228194,0.73812,-0.509926
B2_no_sharing,340,0.228103,0.737028,-0.5089250000000001
B2_no_sharing,350,0.228079,0.736605,-0.5085259999999999
P1_share_early,10,0.289642,0.609067,-0.319425
P1_share_early,20,0.282949,0.619195,-0.33624600000000004
P1_share_early,30,0.279115,1.104505,-0.8253900000000001
P1_share_early,40,0.276636,1.111358,-0.8347220000000001
P1_share_early,50,0.272975,1.036901,-0.7639260000000001
P1_share_early,60,0.269301,0.632856,-0.36355499999999996
P1_share_early,70,0.265608,0.638725,-0.373117
P1_share_early,80,0.262225,1.043747,-0.781522
P1_share_early,90,0.257948,0.646671,-0.388723
P1_share_early,100,0.253645,1.088822,-0.835177
P1_share_early,110,0.250531,1.13953,-0.8889989999999999
P1_share_early,120,0.246764,1.07532,-0.8285560000000001
P1_share_early,130,0.243351,1.137612,-0.8942610000000001
P1_share_early,140,0.239308,1.155742,-0.9164340000000001
P1_share_early,150,0.236331,1.12952,-0.893189
P1_share_early,160,0.234534,1.159826,-0.925292
P1_share_early,170,0.231887,1.162973,-0.9310860000000001
P1_share_early,180,0.229043,0.695836,-0.466793
P1_share_early,190,0.227108,0.701905,-0.474797
P1_share_early,200,0.225156,1.162546,-0.9373900000000001
P1_share_early,210,0.22322,0.708628,-0.48540800000000006
P1_share_early,220,0.221724,0.716393,-0.4946689999999999
P1_share_early,230,0.219702,1.175159,-0.955457
P1_share_early,240,0.218731,0.715657,-0.496926
P1_share_early,250,0.217518,0.719754,-0.502236
P1_share_early,260,0.21691,0.715361,-0.49845100000000003
P1_share_early,270,0.216546,0.715115,-0.49856899999999993
P1_share_early,280,0.215589,0.721013,-0.505424
P1_share_early,290,0.215258,1.174321,-0.959063
P1_share_early,300,0.214799,1.189819,-0.97502
P1_share_early,310,0.214155,1.173911,-0.9597559999999999
P1_share_early,320,0.214123,1.178085,-0.963962
P1_share_early,330,0.213942,1.191911,-0.977969
P1_share_early,340,0.213823,1.192672,-0.978849
P1_share_early,350,0.213827,1.182483,-0.968656
P2_share_middle,10,0.316545,1.116132,-0.7995869999999998
P2_share_middle,20,0.310986,1.490887,-1.179901
P2_share_middle,30,0.304019,1.062533,-0.7585139999999999
P2_share_middle,40,0.296879,1.065902,-0.7690229999999999
P2_share_middle,50,0.289516,0.675944,-0.386428
P2_share_middle,60,0.283779,0.686013,-0.402234
P2_share_middle,70,0.27743,0.693799,-0.41636900000000004
P2_share_middle,80,0.271867,0.703948,-0.432081
P2_share_middle,90,0.26741,0.711612,-0.44420200000000004
P2_share_middle,100,0.26244,0.713811,-0.45137099999999997
P2_share_middle,110,0.25823,0.724894,-0.466664
P2_share_middle,120,0.254494,1.139028,-0.8845339999999999
P2_share_middle,130,0.251104,0.726137,-0.47503300000000004
P2_share_middle,140,0.248203,0.732923,-0.48472
P2_share_middle,150,0.245343,0.739645,-0.494302
P2_share_middle,160,0.242577,0.74184,-0.49926300000000007
P2_share_middle,170,0.239852,0.742838,-0.5029859999999999
P2_share_middle,180,0.237384,0.747454,-0.5100699999999999
P2_share_middle,190,0.236295,0.750882,-0.514587
P2_share_middle,200,0.233989,0.752866,-0.518877
P2_share_middle,210,0.233094,0.757486,-0.524392
P2_share_middle,220,0.231497,1.17038,-0.9388829999999999
P2_share_middle,230,0.230336,0.765545,-0.535209
P2_share_middle,240,0.229156,0.765272,-0.5361159999999999
P2_share_middle,250,0.228146,1.164885,-0.936739
P2_share_middle,260,0.227019,0.765176,-0.538157
P2_share_middle,270,0.226264,1.172619,-0.9463550000000001
P2_share_middle,280,0.226044,1.585685,-1.359641
P2_share_middle,290,0.225796,1.589529,-1.3637329999999999
P2_share_middle,300,0.225544,1.200754,-0.9752100000000001
P2_share_middle,310,0.225314,1.202597,-0.9772829999999999
P2_share_middle,320,0.225039,1.186748,-0.9617089999999999
P2_share_middle,330,0.224657,1.584792,-1.360135
P2_share_middle,340,0.224985,1.575959,-1.3509740000000001
P2_share_middle,350,0.224726,1.57232,-1.347594
P3_share_late,10,-1e-06,-0.0,-1e-06
P3_share_late,20,-2e-06,-0.0,-2e-06
P3_share_late,30,-1e-06,-0.0,-1e-06
P3_share_late,40,-2e-06,0.0,-2e-06
P3_share_late,50,-2e-06,0.0,-2e-06
P3_share_late,60,-2e-06,-0.0,-2e-06
P3_share_late,70,-3e-06,-0.0,-3e-06
P3_share_late,80,-3e-06,-0.0,-3e-06
P3_share_late,90,-2e-06,-0.0,-2e-06
P3_share_late,100,-2e-06,-0.0,-2e-06
P3_share_late,110,-3e-06,0.0,-3e-06
P3_share_late,120,-4e-06,0.0,-4e-06
P3_share_late,130,-3e-06,-0.0,-3e-06
P3_share_late,140,-3e-06,-0.0,-3e-06
P3_share_late,150,-3e-06,0.0,-3e-06
P3_share_late,160,-3e-06,-0.0,-3e-06
P3_share_late,170,-3e-06,0.0,-3e-06
P3_share_late,180,-4e-06,0.0,-4e-06
P3_share_late,190,-4e-06,0.0,-4e-06
P3_share_late,200,-4e-06,-0.0,-4e-06
P3_share_late,210,-4e-06,0.0,-4e-06
P3_share_late,220,-4e-06,-0.0,-4e-06
P3_share_late,230,-3e-06,-0.0,-3e-06
P3_share_late,240,-4e-06,0.0,-4e-06
P3_share_late,250,-3e-06,-0.0,-3e-06
P3_share_late,260,-3e-06,-0.0,-3e-06
P3_share_late,270,-3e-06,-0.0,-3e-06
P3_share_late,280,-3e-06,-0.0,-3e-06
P3_share_late,290,-3e-06,-0.0,-3e-06
P3_share_late,300,-3e-06,-0.0,-3e-06
P3_share_late,310,-3e-06,-0.0,-3e-06
P3_share_late,320,-3e-06,-0.0,-3e-06
P3_share_late,330,-3e-06,-0.0,-3e-06
P3_share_late,340,-3e-06,-0.0,-3e-06
P3_share_late,350,-3e-06,-0.0,-3e-06
P4_share_backbone,10,0.287065,0.671839,-0.38477399999999995
P4_share_backbone,20,0.277356,0.681497,-0.40414100000000003
P4_share_backbone,30,0.273425,0.67987,-0.406445
P4_share_backbone,40,0.270602,0.685965,-0.41536300000000004
P4_share_backbone,50,0.265734,0.693218,-0.427484
P4_share_backbone,60,0.262461,0.6962,-0.43373900000000004
P4_share_backbone,70,0.25803,0.700852,-0.44282200000000005
P4_share_backbone,80,0.253108,0.700148,-0.44704
P4_share_backbone,90,0.24936,0.712579,-0.46321899999999994
P4_share_backbone,100,0.245838,0.716511,-0.470673
P4_share_backbone,110,0.241279,0.728065,-0.48678599999999994
P4_share_backbone,120,0.23824,0.73464,-0.49639999999999995
P4_share_backbone,130,0.234821,0.734996,-0.500175
P4_share_backbone,140,0.231459,1.143696,-0.9122370000000001
P4_share_backbone,150,0.229438,0.74368,-0.514242
P4_share_backbone,160,0.226812,1.180375,-0.9535629999999999
P4_share_backbone,170,0.224417,0.749881,-0.525464
P4_share_backbone,180,0.223272,0.757034,-0.533762
P4_share_backbone,190,0.221318,1.194491,-0.973173
P4_share_backbone,200,0.219785,1.218311,-0.9985259999999999
P4_share_backbone,210,0.218133,1.193385,-0.9752519999999999
P4_share_backbone,220,0.217234,1.2235,-1.006266
P4_share_backbone,230,0.215743,0.769283,-0.55354
P4_share_backbone,240,0.214852,1.229512,-1.01466
P4_share_backbone,250,0.214341,1.203334,-0.9889929999999999
P4_share_backbone,260,0.21342,1.19648,-0.98306
P4_share_backbone,270,0.212707,1.182448,-0.969741
P4_share_backbone,280,0.212463,1.253505,-1.041042
P4_share_backbone,290,0.211751,1.235081,-1.02333
P4_share_backbone,300,0.211194,1.254135,-1.042941
P4_share_backbone,310,0.211035,1.238143,-1.027108
P4_share_backbone,320,0.211028,0.772545,-0.561517
P4_share_backbone,330,0.210828,1.189334,-0.9785059999999999
P4_share_backbone,340,0.210855,0.771437,-0.560582
P4_share_backbone,350,0.210894,0.770918,-0.560024
