cluster,round,unique_destinations
tactical,10,21.63
tactical,20,26.7
tactical,30,25.07
tactical,40,25.67
tactical,50,27.17
tactical,60,29.13
tactical,70,25.77
tactical,80,28.77
tactical,90,28.57
tactical,100,27.7
tactical,110,29.87
tactical,120,30.0
tactical,130,28.1
tactical,140,32.43
tactical,150,31.47
tactical,160,32.33
tactical,170,32.4
tactical,180,31.83
tactical,190,30.87
tactical,200,30.63
tactical,210,28.97
tactical,220,31.23
tactical,230,33.27
tactical,240,30.73
tactical,250,31.9
tactical,260,30.63
tactical,270,30.77
tactical,280,31.07
tactical,290,26.13
tactical,300,32.9
tactical,310,31.37
tactical,320,29.33
tactical,330,32.2
tactical,340,31.47
tactical,350,33.87
positional,10,22.0
positional,20,27.43
positional,30,26.37
positional,40,28.0
positional,50,24.6
positional,60,29.07
positional,70,27.8
positional,80,29.43
positional,90,32.93
positional,100,29.67
positional,110,27.33
positional,120,25.57
positional,130,33.63
positional,140,28.8
positional,150,31.07
positional,160,30.27
positional,170,30.13
positional,180,28.93
positional,190,32.03
positional,200,29.2
positional,210,30.97
positional,220,32.2
positional,230,29.4
positional,240,32.0
positional,250,32.33
positional,260,30.33
positional,270,30.33
positional,280,28.6
positional,290,33.67
positional,300,30.9
positional,310,32.53
positional,320,32.03
positional,330,31.37
positional,340,32.37
positional,350,30.53
